loss,accuracy,f1_m,precision_m,recall_m,val_loss,val_accuracy,val_f1_m,val_precision_m,val_recall_m
-26.54783058166504,0.5019687414169312,0.0,0.0,0.0,-83.49027252197266,0.4948750138282776,0.0,0.0,0.0
-188.2910919189453,0.5019687414169312,0.0,0.0,0.0,-319.37225341796875,0.4948750138282776,0.0,0.0,0.0
-477.7817077636719,0.5019687414169312,0.0,0.0,0.0,-666.1875,0.4948750138282776,0.0,0.0,0.0
-867.1021728515625,0.5019687414169312,0.0,0.0,0.0,-1106.95458984375,0.4948750138282776,0.0,0.0,0.0
-1345.111328125,0.5019687414169312,0.0,0.0,0.0,-1634.839111328125,0.4948750138282776,0.0,0.0,0.0
-1909.015380859375,0.5019687414169312,0.0,0.0,0.0,-2249.194091796875,0.4948750138282776,0.0,0.0,0.0
-2552.915283203125,0.5019687414169312,0.0,0.0,0.0,-2941.03125,0.4948750138282776,0.0,0.0,0.0
-3275.099609375,0.5019687414169312,0.0,0.0,0.0,-3712.600830078125,0.4948750138282776,0.0,0.0,0.0
-4074.56591796875,0.5019687414169312,0.0,0.0,0.0,-4562.24560546875,0.4948750138282776,0.0,0.0,0.0
-4951.04443359375,0.5019687414169312,0.0,0.0,0.0,-5489.43017578125,0.4948750138282776,0.0,0.0,0.0
-5902.75830078125,0.5019687414169312,0.0,0.0,0.0,-6492.03857421875,0.4948750138282776,0.0,0.0,0.0
-6931.34765625,0.5019687414169312,0.0,0.0,0.0,-7572.921875,0.4948750138282776,0.0,0.0,0.0
-8033.15380859375,0.5019687414169312,0.0,0.0,0.0,-8728.814453125,0.4948750138282776,0.0,0.0,0.0
-9211.890625,0.5019687414169312,0.0,0.0,0.0,-9962.2822265625,0.4948750138282776,0.0,0.0,0.0
-10466.693359375,0.5019687414169312,0.0,0.0,0.0,-11271.9853515625,0.4948750138282776,0.0,0.0,0.0
-11795.3876953125,0.5019687414169312,0.0,0.0,0.0,-12656.498046875,0.4948750138282776,0.0,0.0,0.0
-13195.5712890625,0.5019687414169312,0.0,0.0,0.0,-14111.91796875,0.4948750138282776,0.0,0.0,0.0
-14667.5771484375,0.5019687414169312,0.0,0.0,0.0,-15642.41015625,0.4948750138282776,0.0,0.0,0.0
-16216.8466796875,0.5019687414169312,0.0,0.0,0.0,-17249.53125,0.4948750138282776,0.0,0.0,0.0
-17839.11328125,0.5019687414169312,0.0,0.0,0.0,-18931.53515625,0.4948750138282776,0.0,0.0,0.0
-19535.4296875,0.5019687414169312,0.0,0.0,0.0,-20689.21484375,0.4948750138282776,0.0,0.0,0.0
-21307.0234375,0.5019687414169312,0.0,0.0,0.0,-22521.61328125,0.4948750138282776,0.0,0.0,0.0
-23148.28515625,0.5019687414169312,0.0,0.0,0.0,-24425.021484375,0.4948750138282776,0.0,0.0,0.0
-25066.408203125,0.5019687414169312,0.0,0.0,0.0,-26406.53125,0.4948750138282776,0.0,0.0,0.0
-27054.73046875,0.5019687414169312,0.0,0.0,0.0,-28457.88671875,0.4948750138282776,0.0,0.0,0.0
-29119.310546875,0.5019687414169312,0.0,0.0,0.0,-30591.3203125,0.4948750138282776,0.0,0.0,0.0
-31254.859375,0.5019687414169312,0.0,0.0,0.0,-32792.0390625,0.4948750138282776,0.0,0.0,0.0
-33463.12890625,0.5019687414169312,0.0,0.0,0.0,-35068.70703125,0.4948750138282776,0.0,0.0,0.0
-35746.73046875,0.5019687414169312,0.0,0.0,0.0,-37417.98828125,0.4948750138282776,0.0,0.0,0.0
-38098.05078125,0.5019687414169312,0.0,0.0,0.0,-39838.0859375,0.4948750138282776,0.0,0.0,0.0
-40525.35546875,0.5019687414169312,0.0,0.0,0.0,-42337.98828125,0.4948750138282776,0.0,0.0,0.0
-43026.62890625,0.5019687414169312,0.0,0.0,0.0,-44908.8359375,0.4948750138282776,0.0,0.0,0.0
-45598.6328125,0.5019687414169312,0.0,0.0,0.0,-47552.14453125,0.4948750138282776,0.0,0.0,0.0
-48239.34375,0.5019687414169312,0.0,0.0,0.0,-50264.890625,0.4948750138282776,0.0,0.0,0.0
-50952.98046875,0.5019687414169312,0.0,0.0,0.0,-53055.0546875,0.4948750138282776,0.0,0.0,0.0
-53743.8984375,0.5019687414169312,0.0,0.0,0.0,-55921.0,0.4948750138282776,0.0,0.0,0.0
-56606.69140625,0.5019687414169312,0.0,0.0,0.0,-58861.1875,0.4948750138282776,0.0,0.0,0.0
-59540.578125,0.5019687414169312,0.0,0.0,0.0,-61868.27734375,0.4948750138282776,0.0,0.0,0.0
-62545.71484375,0.5019687414169312,0.0,0.0,0.0,-64950.35546875,0.4948750138282776,0.0,0.0,0.0
-65626.5390625,0.5019687414169312,0.0,0.0,0.0,-68111.609375,0.4948750138282776,0.0,0.0,0.0
-68771.3203125,0.5019687414169312,0.0,0.0,0.0,-71333.3125,0.4948750138282776,0.0,0.0,0.0
-71991.1484375,0.5019687414169312,0.0,0.0,0.0,-74636.0078125,0.4948750138282776,0.0,0.0,0.0
-75285.6875,0.5019687414169312,0.0,0.0,0.0,-78014.0,0.4948750138282776,0.0,0.0,0.0
-78650.15625,0.5019687414169312,0.0,0.0,0.0,-81458.59375,0.4948750138282776,0.0,0.0,0.0
-82087.65625,0.5019687414169312,0.0,0.0,0.0,-84980.75,0.4948750138282776,0.0,0.0,0.0
-85597.9453125,0.5019687414169312,0.0,0.0,0.0,-88576.390625,0.4948750138282776,0.0,0.0,0.0
-89172.1875,0.5019687414169312,0.0,0.0,0.0,-92230.2890625,0.4948750138282776,0.0,0.0,0.0
-92817.40625,0.5019687414169312,0.0,0.0,0.0,-95965.9921875,0.4948750138282776,0.0,0.0,0.0
-96541.859375,0.5019687414169312,0.0,0.0,0.0,-99778.3359375,0.4948750138282776,0.0,0.0,0.0
-100335.2890625,0.5019687414169312,0.0,0.0,0.0,-103660.421875,0.4948750138282776,0.0,0.0,0.0
-104200.9609375,0.5019687414169312,0.0,0.0,0.0,-107614.0234375,0.4948750138282776,0.0,0.0,0.0
-108140.9921875,0.5019687414169312,0.0,0.0,0.0,-111645.328125,0.4948750138282776,0.0,0.0,0.0
-112153.0078125,0.5019687414169312,0.0,0.0,0.0,-115748.25,0.4948750138282776,0.0,0.0,0.0
-116230.96875,0.5019687414169312,0.0,0.0,0.0,-119916.2734375,0.4948750138282776,0.0,0.0,0.0
-120385.78125,0.5019687414169312,0.0,0.0,0.0,-124168.8125,0.4948750138282776,0.0,0.0,0.0
-124610.2890625,0.5019687414169312,0.0,0.0,0.0,-128483.078125,0.4948750138282776,0.0,0.0,0.0
-128908.53125,0.5019687414169312,0.0,0.0,0.0,-132885.546875,0.4948750138282776,0.0,0.0,0.0
-133284.625,0.5019687414169312,0.0,0.0,0.0,-137352.484375,0.4948750138282776,0.0,0.0,0.0
-137723.21875,0.5019687414169312,0.0,0.0,0.0,-141883.96875,0.4948750138282776,0.0,0.0,0.0
-142228.703125,0.5019687414169312,0.0,0.0,0.0,-146489.09375,0.4948750138282776,0.0,0.0,0.0
-146816.03125,0.5019687414169312,0.0,0.0,0.0,-151176.140625,0.4948750138282776,0.0,0.0,0.0
-151471.53125,0.5019687414169312,0.0,0.0,0.0,-155933.390625,0.4948750138282776,0.0,0.0,0.0
-156200.40625,0.5019687414169312,0.0,0.0,0.0,-160765.796875,0.4948750138282776,0.0,0.0,0.0
-160994.875,0.5019687414169312,0.0,0.0,0.0,-165654.84375,0.4948750138282776,0.0,0.0,0.0
-165856.453125,0.5019687414169312,0.0,0.0,0.0,-170622.0,0.4948750138282776,0.0,0.0,0.0
-170790.578125,0.5019687414169312,0.0,0.0,0.0,-175659.265625,0.4948750138282776,0.0,0.0,0.0
-175800.890625,0.5019687414169312,0.0,0.0,0.0,-180783.28125,0.4948750138282776,0.0,0.0,0.0
-180889.0625,0.5019687414169312,0.0,0.0,0.0,-185971.546875,0.4948750138282776,0.0,0.0,0.0
-186042.78125,0.5019687414169312,0.0,0.0,0.0,-191227.375,0.4948750138282776,0.0,0.0,0.0
-191265.734375,0.5019687414169312,0.0,0.0,0.0,-196559.4375,0.4948750138282776,0.0,0.0,0.0
-196559.8125,0.5019687414169312,0.0,0.0,0.0,-201963.484375,0.4948750138282776,0.0,0.0,0.0
-201922.6875,0.5019687414169312,0.0,0.0,0.0,-207436.140625,0.4948750138282776,0.0,0.0,0.0
-207359.046875,0.5019687414169312,0.0,0.0,0.0,-212981.03125,0.4948750138282776,0.0,0.0,0.0
-212871.25,0.5019687414169312,0.0,0.0,0.0,-218612.421875,0.4948750138282776,0.0,0.0,0.0
-218461.09375,0.5019687414169312,0.0,0.0,0.0,-224311.125,0.4948750138282776,0.0,0.0,0.0
-224110.28125,0.5019687414169312,0.0,0.0,0.0,-230069.25,0.4948750138282776,0.0,0.0,0.0
-229834.671875,0.5019687414169312,0.0,0.0,0.0,-235918.0625,0.4948750138282776,0.0,0.0,0.0
-235629.375,0.5019687414169312,0.0,0.0,0.0,-241824.375,0.4948750138282776,0.0,0.0,0.0
-241492.65625,0.5019687414169312,0.0,0.0,0.0,-247803.265625,0.4948750138282776,0.0,0.0,0.0
-247432.921875,0.5019687414169312,0.0,0.0,0.0,-253863.1875,0.4948750138282776,0.0,0.0,0.0
-253439.328125,0.5019687414169312,0.0,0.0,0.0,-259982.28125,0.4948750138282776,0.0,0.0,0.0
-259518.046875,0.5019687414169312,0.0,0.0,0.0,-266184.8125,0.4948750138282776,0.0,0.0,0.0
-265679.21875,0.5019687414169312,0.0,0.0,0.0,-272470.53125,0.4948750138282776,0.0,0.0,0.0
-271905.96875,0.5019687414169312,0.0,0.0,0.0,-278808.625,0.4948750138282776,0.0,0.0,0.0
-278190.75,0.5019687414169312,0.0,0.0,0.0,-285217.09375,0.4948750138282776,0.0,0.0,0.0
-284547.21875,0.5019687414169312,0.0,0.0,0.0,-291698.71875,0.4948750138282776,0.0,0.0,0.0
-290983.6875,0.5019687414169312,0.0,0.0,0.0,-298257.40625,0.4948750138282776,0.0,0.0,0.0
-297489.03125,0.5019687414169312,0.0,0.0,0.0,-304888.625,0.4948750138282776,0.0,0.0,0.0
-304056.5625,0.5019687414169312,0.0,0.0,0.0,-311584.84375,0.4948750138282776,0.0,0.0,0.0
-310708.09375,0.5019687414169312,0.0,0.0,0.0,-318364.78125,0.4948750138282776,0.0,0.0,0.0
-317419.15625,0.5019687414169312,0.0,0.0,0.0,-325197.5625,0.4948750138282776,0.0,0.0,0.0
-324210.96875,0.5019687414169312,0.0,0.0,0.0,-332126.03125,0.4948750138282776,0.0,0.0,0.0
-331072.53125,0.5019687414169312,0.0,0.0,0.0,-339116.09375,0.4948750138282776,0.0,0.0,0.0
-338012.71875,0.5019687414169312,0.0,0.0,0.0,-346188.75,0.4948750138282776,0.0,0.0,0.0
-345019.125,0.5019687414169312,0.0,0.0,0.0,-353323.9375,0.4948750138282776,0.0,0.0,0.0
-352092.8125,0.5019687414169312,0.0,0.0,0.0,-360536.71875,0.4948750138282776,0.0,0.0,0.0
-359251.5,0.5019687414169312,0.0,0.0,0.0,-367827.5625,0.4948750138282776,0.0,0.0,0.0
-366470.96875,0.5019687414169312,0.0,0.0,0.0,-375180.75,0.4948750138282776,0.0,0.0,0.0
-373760.15625,0.5019687414169312,0.0,0.0,0.0,-382603.96875,0.4948750138282776,0.0,0.0,0.0
-381120.125,0.5019687414169312,0.0,0.0,0.0,-390108.71875,0.4948750138282776,0.0,0.0,0.0
